PC1,PC2
-0.285138,-0.40094
0.0535567,-0.511151
-0.00445625,-0.484191
0.0500179,-0.482259
0.254225,-0.561534
0.507366,-0.618277
0.602089,-0.675707
1.29427,0.911659
1.33819,0.153078
1.83905,1.48626
1.97272,1.65064
1.63905,-0.244972
1.72885,0.346474
2.43741,2.59693
2.25695,1.53119
2.70914,2.68686
2.0951,0.594103
2.67445,2.40873
2.61189,1.96769
1.96046,0.217092
1.85096,0.246247
1.49014,-0.754128
2.29177,2.61623
2.17163,2.83215
1.08989,-0.495287
1.35492,0.00547778
1.31216,1.06775
1.71239,1.91251
1.6928,1.57121
0.662203,-0.17172
0.971194,0.940305
1.13388,0.980842
0.360421,-0.61669
0.0675692,-0.526294
-0.000935059,-0.505773
-0.0602708,-0.489214
0.0454057,-0.525971
-0.169774,-0.46006
-0.291447,-0.42376
-0.462626,-0.369663
-0.581297,-0.336546
-0.62714,-0.316732
-0.779982,-0.270561
-0.611306,-0.32186
-0.834993,-0.246785
-0.915667,-0.219118
-0.956666,-0.210485
-0.901655,-0.234261
-0.736643,-0.287578
-0.775138,-0.281742
-0.576453,-0.347727
-0.383935,-0.412931
-0.221925,-0.463065
-0.242083,-0.465155
-0.118568,-0.509453
0.0709484,-0.571475
0.256801,-0.635515
0.521486,-0.719223
0.714004,-0.784427
0.302124,-0.63693
0.434808,-0.685191
0.767998,-0.78942
0.969684,-0.858588
1.13238,-0.921535
1.73826,-1.11825
1.89845,-1.1784
2.25428,-0.966447
2.39609,-0.993347
2.13097,-0.144475
1.77972,-0.895849
2.74239,2.21174
2.73665,1.75693
2.12283,-0.860533
2.88999,1.31533
2.32781,0.883122
2.32831,-1.30984
3.22312,1.7487
2.47579,-1.32643
2.51679,-1.33506
2.55846,0.142139
2.25901,-0.695561
2.07581,2.34715
1.06092,0.176529
0.61656,-0.28496
-0.312895,0.820274
-1.14179,-0.212428
-1.31244,-0.17673
-1.27343,-0.200965
-1.41226,-0.169938
-1.46729,-0.138851
-1.50343,-0.148709
-1.61593,-0.116372
-1.46009,-0.165725
-1.58542,-0.131443
-1.68876,-0.103068
-1.7071,-0.0951426
-1.75726,-0.0825467
-1.79826,-0.0739136
-1.77992,-0.0818392
-1.81175,-0.0771689
-1.83926,-0.0652806
-1.83926,-0.0652806
-1.86192,-0.0645731
-1.87109,-0.0606103
-1.88943,-0.0526847
-1.8986,-0.0487219
-1.91209,-0.0519772
-1.77371,0.379889
-1.15558,3.01188
-1.71938,1.36173
-2.15531,0.0515316
-2.15531,0.0515316
-1.97182,0.405546
-1.72702,0.851382
-1.0155,3.72173
-1.81565,0.161267
-1.82811,-0.0536422
-1.03409,2.09782
-1.17287,1.41299
-1.03257,1.19916
-0.507679,3.00455
-0.440015,2.88777
-0.722693,2.77717
-1.17699,1.09786
-0.579012,3.42889
-0.817225,3.22793
-1.50359,0.361383
-1.49045,-0.127054
-1.38347,-0.146102
-1.27163,-0.183639
-1.19526,-0.225834
-1.47027,-0.142978
-1.24358,-0.221236
-1.22092,-0.221944
-1.17692,-0.233759
-1.47944,-0.139015
-1.35543,-0.183698
-1.26192,-0.21331
-1.52044,-0.130382
-1.60728,-0.101935
-1.71912,-0.0643978
-1.57245,-0.109788
-1.65312,-0.0821214
-1.70563,-0.0611425
-1.72397,-0.0532169
-1.779,-0.0221306
-1.69035,-0.0332522
-1.84564,-0.0169169
-1.69897,-0.0623074
-1.83494,0.158738
-1.754,-0.0312211
-1.92331,0.00756732
-1.94165,0.0154929
-1.79498,-0.0298976
-1.97348,0.0201632
-1.97348,0.0201632
-1.98265,0.024126
-1.99182,0.0280888
-1.99182,0.0280888
-1.99182,0.0280888
-1.87178,0.46788
-1.25803,1.55188
-1.80516,-0.00715102
-1.98551,0.050908
-1.98983,0.0436899
-1.79299,-0.0142965
-1.7825,-0.00785851
-1.62666,-0.0572118
-1.74098,-0.0348906
-1.59613,-0.090297
-1.42011,-0.155574
-1.3241,-0.187984
-1.13642,-0.242008
-1.20727,-0.213103
-0.857561,-0.335274
-0.576879,-0.418525
-0.273468,-0.438941
-0.553272,-0.366833
-0.30442,-0.445414
0.0189214,-0.543572
0.296545,-0.591006
0.296545,-0.591006
-0.137403,-0.501143
0.320969,-0.0440928
0.0745016,-0.390875
0.250918,-0.587536
0.15493,-0.57314
0.580303,-0.717383
0.596797,-0.71731
0.407303,-0.673302
0.564989,-0.730654
0.702495,-0.772082
0.407303,-0.673302
0.247113,-0.613153
0.050271,-0.555167
0.343643,-0.663962
0.292956,-0.632967
0.070429,-0.553076
0.231117,-0.61361
0.251957,-0.624334
0.32963,-0.648818
-0.169254,-0.478459
-0.359432,-0.421637
-0.347261,-0.428783
-0.630945,-0.342349
-0.525268,-0.379107
-0.472761,-0.400085
-0.561284,-0.265275
-0.0900994,1.67438
-0.498822,0.924257
-0.915634,-0.264977
-1.47131,-0.10618
-1.69698,-0.0467063
-1.63531,-0.071648
-1.83647,-0.0208797
-1.68063,-0.070233
-1.81513,-0.031988
-1.89096,-0.0155019
-1.90446,-0.0187572
-1.86478,-0.0377911
-1.66957,0.380314
-2.00479,0.00643449
-2.03662,0.0111048
-1.88078,-0.0382485
-1.72493,-0.0876018
-1.71577,-0.0915646
-1.98403,0.0356538
-1.85027,-0.0533195
-2.07762,0.0197379
-1.95361,-0.0249451
-2.10028,0.0204453
-2.03795,0.000704032
-2.10461,0.0132272
-2.0771,0.00133887
-2.03743,-0.017695
-1.92558,-0.0552325
-1.7514,-0.112511
-1.87974,-0.0750465
-1.72822,-0.131618
-1.69337,-0.157485
-1.65721,-0.154937
-1.4702,-0.214161
-1.58499,-0.113294
-1.23721,0.420933
-1.31777,-0.214419
-1.05414,0.0448563
-0.401151,1.26652
-0.386836,0.194982
-0.0123866,0.528283
0.962571,2.87293
1.02078,1.84413
0.767695,1.56936
0.563314,0.0696372
1.24022,1.33024
1.09006,0.0802056
1.96771,2.82389
0.966985,-0.73344
2.03854,2.41064
1.61573,0.928899
0.928889,-0.0722807
1.43932,2.21114
0.56738,-0.462089
1.20427,1.71371
0.953211,1.22312
0.934757,1.89407
0.659351,0.424969
1.18938,2.04957
1.14802,3.16777
0.354268,-0.231564
0.403659,0.320879
0.389629,0.343332
0.844697,2.06606
0.426173,0.606152
0.562362,1.54713
0.421987,0.715314
1.13037,2.87472
1.01659,2.1808
0.341016,1.61382
0.180549,1.14233
-0.0692537,0.299732
0.350339,2.0178
0.135261,1.12913
0.284895,1.70363
0.604301,3.16091
-0.48384,-0.327646
0.0528466,1.59467
-0.270627,-0.416469
-0.430641,0.0336124
-0.611143,-0.316275
-0.642973,-0.311604
-0.615468,-0.323493
-0.46695,-0.376881
-0.161694,0.680288
0.101269,1.02714
0.440289,3.20276
0.532353,2.74018
0.14629,2.28822
0.241597,2.57481
0.447232,2.63694
0.534645,2.56816
-0.0175879,0.481373
0.196482,0.481497
0.727272,2.4484
0.450481,0.5137
0.574975,0.682038
0.475747,-0.44439
0.699617,0.564394
0.605447,-0.496778
1.1011,1.05713
1.67199,2.25785
0.811023,-0.103144
0.790598,-0.241818
1.06138,0.70644
0.889657,0.0923172
1.09584,0.822661
0.711391,-0.396952
0.882857,-0.62065
1.08559,1.2697
0.711243,-0.11097
1.2755,2.16188
1.14101,2.19281
0.207221,-0.453755
0.445064,0.565209
0.053735,-0.420095
0.183737,-0.556614
0.0187248,-0.503298
-0.207465,-0.425425
