PC1,PC2
0.0661844,-0.524726
0.0109585,-0.497021
0.0664957,-0.492447
0.27184,-0.565059
0.523166,-0.614003
0.61862,-0.671484
1.29115,0.943264
1.34187,0.176862
1.82617,1.52823
1.95836,1.69885
1.64447,-0.219582
1.73051,0.385567
2.40998,2.65912
2.24254,1.58282
2.67823,2.7503
2.09266,0.644217
2.64843,2.47802
2.5902,2.03157
1.96122,0.263331
1.84933,0.286783
1.50023,-0.725929
2.26067,2.67143
2.13892,2.88382
1.09878,-0.479017
1.3533,0.0200106
1.30146,1.09285
1.68823,1.94017
1.67142,1.59221
0.667983,-0.165843
0.963237,0.954755
1.1206,0.988693
0.37061,-0.624351
0.078182,-0.537634
0.00865054,-0.520981
-0.0518221,-0.507613
0.0501289,-0.550942
-0.163709,-0.484162
-0.285527,-0.449429
-0.456136,-0.397444
-0.577082,-0.370708
-0.622376,-0.354286
-0.774867,-0.30887
-0.608947,-0.366396
-0.82922,-0.289163
-0.908683,-0.261229
-0.951038,-0.25443
-0.896686,-0.274137
-0.734262,-0.330834
-0.771928,-0.318494
-0.574143,-0.380332
-0.384543,-0.446882
-0.222993,-0.495582
-0.242541,-0.489811
-0.118657,-0.52617
0.0700695,-0.584724
0.2553,-0.642448
0.517928,-0.72648
0.707528,-0.793031
0.303775,-0.642908
0.436717,-0.682552
0.768877,-0.783237
0.967536,-0.853072
1.13234,-0.897027
1.73738,-1.07866
1.8975,-1.12816
2.25334,-0.913834
2.39271,-0.946019
2.12577,-0.0944184
1.78217,-0.85923
2.70492,2.27916
2.70247,1.8138
2.11702,-0.824153
2.85652,1.37246
2.30745,0.93717
2.32899,-1.24818
3.193,1.83267
2.48173,-1.26801
2.52408,-1.27481
2.54964,0.199749
2.25726,-0.662205
2.04033,2.38678
1.05525,0.188569
0.614074,-0.284691
-0.337982,0.784747
-1.15487,-0.272468
-1.32866,-0.236446
-1.29418,-0.264749
-1.43467,-0.232242
-1.49102,-0.204216
-1.52844,-0.215359
-1.6412,-0.183911
-1.48784,-0.237324
-1.61315,-0.201761
-1.71685,-0.173597
-1.73497,-0.167028
-1.78639,-0.156945
-1.82874,-0.150146
-1.81062,-0.156715
-1.84392,-0.153201
-1.8711,-0.143347
-1.8711,-0.143347
-1.89533,-0.143117
-1.90439,-0.139833
-1.92251,-0.133264
-1.93157,-0.129979
-1.94675,-0.133034
-1.81399,0.30343
-1.22441,2.95604
-1.76813,1.28699
-2.18658,-0.0321178
-2.18658,-0.0321178
-2.00897,0.324348
-1.77182,0.772739
-1.09396,3.67466
-1.8516,0.0833261
-1.85417,-0.125127
-1.08811,2.04614
-1.21731,1.35849
-1.07601,1.14032
-0.573777,2.96124
-0.506498,2.84124
-0.781247,2.73591
-1.21307,1.04341
-0.643119,3.38898
-0.873642,3.18817
-1.52457,0.299873
-1.51008,-0.196342
-1.40488,-0.217016
-1.29475,-0.255633
-1.21941,-0.298225
-1.4899,-0.204538
-1.26875,-0.289768
-1.24452,-0.289998
-1.20129,-0.304794
-1.49896,-0.201253
-1.37889,-0.251151
-1.28687,-0.283199
-1.54131,-0.194454
-1.62896,-0.171233
-1.7391,-0.132616
-1.59479,-0.182744
-1.67426,-0.15481
-1.72392,-0.129562
-1.74204,-0.122993
-1.79839,-0.0949666
-1.7113,-0.109071
-1.86386,-0.0882599
-1.71955,-0.138388
-1.85474,0.0861192
-1.7759,-0.110362
-1.94245,-0.0683229
-1.96056,-0.0617539
-1.81626,-0.111882
-1.99386,-0.0582395
-1.99386,-0.0582395
-2.00292,-0.054955
-2.01198,-0.0516705
-2.01198,-0.0516705
-2.01198,-0.0516705
-1.89734,0.391362
-1.29029,1.49872
-1.81832,-0.0790963
-1.99799,-0.0238273
-2.00411,-0.0301663
-1.80839,-0.0903779
-1.79408,-0.0793263
-1.64072,-0.132739
-1.75491,-0.102088
-1.61203,-0.153013
-1.43849,-0.214621
-1.34178,-0.241127
-1.15512,-0.298054
-1.2229,-0.266237
-0.874052,-0.374288
-0.591557,-0.449724
-0.285643,-0.474877
-0.553087,-0.396524
-0.303887,-0.468446
0.0145934,-0.564695
0.291588,-0.613071
0.291588,-0.613071
-0.132959,-0.506063
0.321579,-0.0516065
0.0819954,-0.402195
0.258723,-0.6009
0.16265,-0.576817
0.581581,-0.723886
0.597634,-0.728828
0.409541,-0.672699
0.564972,-0.727738
0.700219,-0.774581
