accMotion,digital,humidity,pulseAbs,temperature,vdd,waterleak,x,y,z
0.0,0.0,55.0,0.0,24.6,3600.0,0.0,-59.0,-21.0,-13.0
1.0,0.0,52.0,0.0,29.1,3611.0,0.0,-59.0,-21.0,-13.0
0.0,0.0,51.0,0.0,29.3,3619.0,0.0,-58.0,-21.0,-14.0
0.0,0.0,48.0,0.0,31.5,3616.0,0.0,-57.0,-21.0,-13.0
0.0,0.0,47.0,0.0,31.4,3624.0,0.0,-59.0,-21.0,-12.0
0.0,0.0,46.0,0.0,31.4,3626.0,0.0,-58.0,-21.0,-12.0
0.0,0.0,44.0,0.0,31.9,3621.0,0.0,-58.0,-21.0,-13.0
0.0,0.0,42.0,0.0,31.6,3621.0,0.0,-59.0,-20.0,-12.0
0.0,0.0,42.0,0.0,31.2,3626.0,0.0,-58.0,-21.0,-12.0
35.0,0.0,41.0,0.0,31.2,3619.0,0.0,-57.0,-21.0,-11.0
0.0,0.0,39.0,0.0,32.1,3619.0,0.0,-58.0,-20.0,-12.0
10.0,0.0,36.0,0.0,35.8,3626.0,0.0,-58.0,-20.0,-13.0
1.0,0.0,34.0,0.0,33.2,3624.0,0.0,-59.0,-21.0,-12.0
20.0,0.0,35.0,0.0,33.3,3624.0,0.0,-59.0,-21.0,-12.0
110.0,0.0,34.0,0.0,33.0,3626.0,0.0,-58.0,-21.0,-11.0
77.0,0.0,35.0,0.0,31.4,3621.0,0.0,-60.0,-20.0,-12.0
22.0,0.0,36.0,0.0,31.1,3619.0,0.0,-58.0,-21.0,-11.0
202.0,0.0,36.0,0.0,30.5,3619.0,0.0,-59.0,-21.0,-13.0
184.0,0.0,36.0,0.0,30.1,3624.0,0.0,-58.0,-21.0,-11.0
220.0,0.0,37.0,0.0,29.7,3621.0,0.0,-58.0,-20.0,-13.0
13.0,0.0,37.0,0.0,29.5,3621.0,0.0,-58.0,-20.0,-13.0
109.0,0.0,39.0,0.0,28.7,3613.0,0.0,-59.0,-21.0,-13.0
145.0,0.0,40.0,0.0,27.6,3611.0,0.0,-59.0,-22.0,-12.0
